283956643  1   1   1    387.59   7.04  25.21 0.56 120-sec   
286845975  1   1   0    188.18  11.14  17.09 0.16 120-sec   
434513354  1   1   1    484.8   18.22  28.59 0.25 120-sec   
193041346  2   1   1    592.51  26.03  36.61 0.33 120-sec   
131243454  2   1   1    377.89  15.17  29.26 0.44 120-sec   
 50276717  2   0   1    697.72  24.8   37.55 3.73 120-sec   
251080667  1   1   1    437.43  10.16  27.86 0.37 120-sec   
220457103 25   1   0    310.54   5.44  22.32 0.23 120-sec   
350221833  1   1   1    296.2    8.72  20.88 0.24 120-sec   
159729576  1   0   1    196.4   10.41  14.93 0.17 120-sec   
157572920  2   0   1    345.3   59.55  24.1  0.0  120-sec   
149700170  2   1   1    413.01   5.13  27.34 0.23 120-sec   
  4917319  1   1   1    608.45  13.97  37.39 0.91 120-sec   
 38602419 26   1   0    428.17   3.48  30.28 0.16 120-sec   
 12418527  2   1   1    273.72   4.97  19.1  0.17 120-sec   
 71582849  1   1   0    338.41  10.11  24.17 0.28 120-sec   
144500249  3   1   1    464.73  18.26  30.07 0.32 120-sec   
224601836 15   1   1    627.48  11.35  38.72 0.64 120-sec   
176379354  2   1   1   1401.96  28.68  74.79 0.34 120-sec PH
 71045818  1   1   1    289.24   7.24  21.45 0.17 120-sec   
118316147  3   1   1    482.86  28.37  29.36 0.56 120-sec   
 20926643  2   1   0    818.63  22.83  51.77 0.49 120-sec   
356893496 14   1   1    190.73   3.39  15.14 0.08 120-sec   
233047757 14   1   1    203.94   2.9   15.62 0.06 120-sec   
260722764  1   1   1    259.15   9.53  18.04 0.3  120-sec   
435594495  4   0   1    365.97  13.8   23.58 1.35 120-sec   
 24192664  2   1   1    237.62   5.38  17.29 0.12 120-sec   
383748169  2   0   1    363.58  28.68  23.84 0.69 120-sec   
106988678  2   1   1    269.81   5.4   20.3  0.15 120-sec   
 96834078  2   1   0    696.51  12.65  41.08 1.04 120-sec   
139226061  1   1   1    180.79   3.32  13.89 0.14 120-sec   
 26966422  4   1   1    502.42  14.13  30.59 0.3  120-sec   
274676482  2   1   1    220.13   8.99  16.45 0.28 120-sec   
230088835 15   1   1    317.55   8.88  21.03 0.32 120-sec   
237973776  3   1   1    250.47   7.06  18.23 0.18 120-sec   
 12435774  2   1   1    645.16  12.65  41.47 0.31 120-sec   
270039281  1   1   1    182.56   5.55  13.76 0.12 120-sec   
 48402444  3   0   1    502.47  48.09  31.14 0.46 120-sec   
285990216  1   1   1    167.92   5.17  15.57 0.29 120-sec   
284289836  2   1   1    317.59   6.56  23.46 0.13 120-sec   
234516451  4   1   1    990.84  15.04  55.03 0.54 120-sec   
261891280  1   1   1    449.19   9.73  28.4  0.29 120-sec   
356894735 14   1   1    227.55   4.36  17.82 0.25 120-sec   
337007583  2   0   1    539.06  18.86  34.31 1.57 120-sec   
440518671  1   1   1    370.42   8.34  25.51 1.06 120-sec   
229694497  2   1   1     89.78   2.7    8.81 0.09 120-sec   
 73328494  1   0   1    253.09  30.34  18.7  0.79 120-sec   
162554891  4   1   1    248.12   7.59  18.19 0.16 120-sec   
199709017  8   1   0    630.69  18.24  35.86 2.57 120-sec   
319477267  3   1   1    313.58   8.95  22.21 0.3  120-sec   
367607434  2   1   1    336.52   5.16  23.21 0.39 120-sec   
391950549  3   1   1    256.1    5.7   18.5  0.19 120-sec   
160180978  2   1   1    575.44   7.17  35.71 0.3  120-sec   
434503711  1   1   1    289.48   7.48  20.83 0.2  120-sec   
356892348 14   1   0    553.01  19.35  35.42 0.37 120-sec   
293747816  1   0   1    270.49  12.78  20.83 0.78 120-sec   
279090824 24   1   0    560.2   18.38  37.08 0.41 120-sec   
197950729  1   0   1    347.67  22.83  23.9  0.17 120-sec   
303622649  1   1   1    397.05  13.84  23.77 2.01 120-sec   
 36449747  1   0   1    279.62  11.43  21.13 1.81 120-sec   
374364923  4   0   1    418.13  21.58  23.46 0.65 120-sec   
384342193  2   1   1    509.64   5.65  29.97 1.05 120-sec   
